"","log2FoldChange","padj","Factor"
"ko:K01915",-0.639631729381812,0.254451934361362,"Menthol_Menthol_vs_Control"
"ko:K01953",-0.304832368863104,0.691400973271503,"Menthol_Menthol_vs_Control"
"ko:K02078",-0.607171220426052,NA,"Menthol_Menthol_vs_Control"
"ko:K02105",-0.0506476044354044,0.91167403471404,"Menthol_Menthol_vs_Control"
"ko:K02111",-0.205631040740168,0.737463760531075,"Menthol_Menthol_vs_Control"
"ko:K02112",-0.619341511030728,0.0405396195380069,"Menthol_Menthol_vs_Control"
"ko:K02128",0.310241997268945,0.460774957050357,"Menthol_Menthol_vs_Control"
"ko:K02136",0.289314841564794,0.690965738233761,"Menthol_Menthol_vs_Control"
"ko:K02146",0.64433968899448,0.575429867107093,"Menthol_Menthol_vs_Control"
"ko:K02149",-0.406496535692888,NA,"Menthol_Menthol_vs_Control"
"ko:K02150",-0.647824649853502,0.359169179894211,"Menthol_Menthol_vs_Control"
"ko:K02151",-0.669164909316191,NA,"Menthol_Menthol_vs_Control"
"ko:K02152",-0.280454338131831,0.832804197065912,"Menthol_Menthol_vs_Control"
"ko:K02155",-0.109070278938342,0.868201220726118,"Menthol_Menthol_vs_Control"
"ko:K02183",-0.247916490016083,0.255045082448202,"Menthol_Menthol_vs_Control"
"ko:K02219",-1.57430715260181,NA,"Menthol_Menthol_vs_Control"
"ko:K02256",1.00253567055339,0.254451934361362,"Menthol_Menthol_vs_Control"
"ko:K02264",-0.0810314249670915,0.937092930549765,"Menthol_Menthol_vs_Control"
"ko:K02267",0.00498627431340039,0.988394011099949,"Menthol_Menthol_vs_Control"
"ko:K02437",-1.02266123426472,NA,"Menthol_Menthol_vs_Control"
"ko:K02503",1.10504115897803,NA,"Menthol_Menthol_vs_Control"
"ko:K02635",-5.01088245957345,9.88365546459829e-05,"Menthol_Menthol_vs_Control"
"ko:K02703",-8.82960931928661,7.30122844664746e-20,"Menthol_Menthol_vs_Control"
"ko:K02704",-6.19144269067472,8.3675474914535e-11,"Menthol_Menthol_vs_Control"
"ko:K02705",-6.13887358496679,3.93733872783095e-10,"Menthol_Menthol_vs_Control"
"ko:K02706",-5.99196039517821,1.41850061689831e-10,"Menthol_Menthol_vs_Control"
"ko:K02725",0.484321276406623,NA,"Menthol_Menthol_vs_Control"
"ko:K02726",-0.369914775583671,NA,"Menthol_Menthol_vs_Control"
"ko:K02728",-0.197146269241454,0.867678918044667,"Menthol_Menthol_vs_Control"
"ko:K02729",-1.8573431986387,NA,"Menthol_Menthol_vs_Control"
"ko:K02730",-0.980911469773972,NA,"Menthol_Menthol_vs_Control"
"ko:K02731",-1.61947892105447,NA,"Menthol_Menthol_vs_Control"
"ko:K02732",-0.869890757040155,0.359169179894211,"Menthol_Menthol_vs_Control"
"ko:K02734",-0.508895844878531,0.693127308406562,"Menthol_Menthol_vs_Control"
"ko:K02738",-0.165644176102687,NA,"Menthol_Menthol_vs_Control"
"ko:K02739",-0.00650907702390822,NA,"Menthol_Menthol_vs_Control"
"ko:K02740",-0.0644545035166638,NA,"Menthol_Menthol_vs_Control"
"ko:K02865",0.0461078322298608,0.868201220726118,"Menthol_Menthol_vs_Control"
"ko:K02866",0.0406840881542316,0.867678918044667,"Menthol_Menthol_vs_Control"
"ko:K02868",0.00633186249389719,0.976907203762726,"Menthol_Menthol_vs_Control"
"ko:K02870",-0.224579314508108,0.249220289247855,"Menthol_Menthol_vs_Control"
"ko:K02872",0.014500447550963,0.964833857827015,"Menthol_Menthol_vs_Control"
"ko:K02873",-0.00846260136788431,0.966001085479007,"Menthol_Menthol_vs_Control"
"ko:K02877",0.102404371194955,0.768879428031895,"Menthol_Menthol_vs_Control"
"ko:K02880",-0.131723554293128,0.772877324042209,"Menthol_Menthol_vs_Control"
"ko:K02882",0.0901516855044688,0.773831016466048,"Menthol_Menthol_vs_Control"
"ko:K02883",-0.0905181830985374,0.74163080030457,"Menthol_Menthol_vs_Control"
"ko:K02885",-0.224062222672032,0.391572951224863,"Menthol_Menthol_vs_Control"
"ko:K02889",0.0810239693132099,0.815343968949842,"Menthol_Menthol_vs_Control"
"ko:K02891",0.123502014231337,0.778956662058425,"Menthol_Menthol_vs_Control"
"ko:K02893",0.106807195081035,0.735755993241886,"Menthol_Menthol_vs_Control"
"ko:K02894",-0.0851887942483436,0.867678918044667,"Menthol_Menthol_vs_Control"
"ko:K02896",0.0504657838096623,0.868201220726118,"Menthol_Menthol_vs_Control"
"ko:K02898",-0.124129587182052,0.758175879498901,"Menthol_Menthol_vs_Control"
"ko:K02900",-0.0574575730482796,0.867678918044667,"Menthol_Menthol_vs_Control"
"ko:K02901",-0.0664185648668115,0.82397140064922,"Menthol_Menthol_vs_Control"
"ko:K02905",-0.0244065574316962,0.943029902857904,"Menthol_Menthol_vs_Control"
"ko:K02908",0.147935758980528,0.690965738233761,"Menthol_Menthol_vs_Control"
"ko:K02910",-0.35179162136022,0.101598573208117,"Menthol_Menthol_vs_Control"
"ko:K02912",0.0316037238568881,0.921607288979043,"Menthol_Menthol_vs_Control"
"ko:K02915",-0.0265000302180852,0.936925574480897,"Menthol_Menthol_vs_Control"
"ko:K02917",0.207730643628336,0.46767167628307,"Menthol_Menthol_vs_Control"
"ko:K02918",-0.254663272612203,0.420643738697172,"Menthol_Menthol_vs_Control"
"ko:K02920",-0.116887102602828,0.798875387625238,"Menthol_Menthol_vs_Control"
"ko:K02921",-0.10334680341083,0.843844396605549,"Menthol_Menthol_vs_Control"
"ko:K02922",-0.104107567996301,0.841155653874509,"Menthol_Menthol_vs_Control"
"ko:K02923",0.0724507238548626,0.868201220726118,"Menthol_Menthol_vs_Control"
"ko:K02924",-0.170657635496638,0.74163080030457,"Menthol_Menthol_vs_Control"
"ko:K02925",-0.0725967942682462,0.841155653874509,"Menthol_Menthol_vs_Control"
"ko:K02929",-0.0274120823988982,0.930134197058459,"Menthol_Menthol_vs_Control"
"ko:K02930",0.194242107573288,0.299072519373088,"Menthol_Menthol_vs_Control"
"ko:K02932",0.120841386789101,0.577673353766057,"Menthol_Menthol_vs_Control"
"ko:K02936",0.00692101901151056,0.976907203762726,"Menthol_Menthol_vs_Control"
"ko:K02937",-0.217378928092026,0.299072519373088,"Menthol_Menthol_vs_Control"
"ko:K02938",-0.0115719774758445,0.965188879200481,"Menthol_Menthol_vs_Control"
"ko:K02940",0.0327399304496021,0.917837404067893,"Menthol_Menthol_vs_Control"
"ko:K02941",0.238966946866256,0.239928596484027,"Menthol_Menthol_vs_Control"
"ko:K02947",-0.0637333818375481,0.798875387625238,"Menthol_Menthol_vs_Control"
"ko:K02949",0.118696465503669,0.749315065415681,"Menthol_Menthol_vs_Control"
"ko:K02951",-0.0781402807732078,0.778956662058425,"Menthol_Menthol_vs_Control"
"ko:K02953",0.137204404937352,0.74163080030457,"Menthol_Menthol_vs_Control"
"ko:K02955",-0.0135948314600155,0.965188879200481,"Menthol_Menthol_vs_Control"
"ko:K02957",0.0858027372527658,0.77627216230561,"Menthol_Menthol_vs_Control"
"ko:K02958",-0.0224683030083935,0.941885148015392,"Menthol_Menthol_vs_Control"
"ko:K02960",0.126416259444119,0.768879428031895,"Menthol_Menthol_vs_Control"
"ko:K02962",0.29513738307776,0.254451934361362,"Menthol_Menthol_vs_Control"
"ko:K02964",-0.123993634600901,0.735755993241886,"Menthol_Menthol_vs_Control"
"ko:K02966",-0.110656766148581,0.774699293397908,"Menthol_Menthol_vs_Control"
"ko:K02969",-0.0702559470058576,0.815343968949842,"Menthol_Menthol_vs_Control"
"ko:K02971",0.0551493321144931,0.868322886773286,"Menthol_Menthol_vs_Control"
"ko:K02973",-0.0497441515042259,0.899368531444172,"Menthol_Menthol_vs_Control"
"ko:K02974",0.0210472922544572,0.94730737769495,"Menthol_Menthol_vs_Control"
"ko:K02975",0.0962551274144335,0.795571571250212,"Menthol_Menthol_vs_Control"
